,0,1,2,3,4,5,6,7,8,9,10,11,12
Leeds,Moderate,High,Moderate,Low,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Low,Low
Sacramento,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Low
Blantyre,High,High,High,High,Moderate,Very High,Moderate,Low,Low,Moderate,High,Moderate,Very High
Bucharest,Low,Low,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,High
Bhopal,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,High
Curitiba,High,High,Moderate,High,High,High,Moderate,Low,Very Low,High,High,High,High
Asuncion,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Low,Very Low,Moderate,Moderate,Moderate,Very High
Vienna,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Low,Low
Hamburg,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Orlando,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Moderate
Mersin,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Moderate
Almaty,High,High,High,High,Moderate,High,High,Moderate,Moderate,Moderate,High,Moderate,Very High
Barranquilla,High,High,Low,High,Low,Moderate,Moderate,Low,Very Low,Moderate,Moderate,High,Very High
Kyoto,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low
Manaus,Very High,Very High,High,High,High,High,High,Low,Low,High,High,Very High,Very High
San-Jose,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Low
Warsaw,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Very Low,Moderate
Damascus,High,High,High,High,High,High,High,High,High,Moderate,High,High,High
Esfahan,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,High
Budapest,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Low,High
Lusaka,Moderate,High,Moderate,Moderate,Moderate,High,Low,Low,Low,Low,Moderate,Moderate,High
Vitoria,Moderate,Moderate,Low,High,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,Moderate
Cleveland,High,High,High,High,Moderate,High,High,High,Moderate,High,High,High,High
Pittsburgh,Moderate,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Mecca,Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Low,Low,Very Low,Very Low,Very Low,Low
Patna,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Austin,Low,High,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low
Conakry,Very High,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Very High,High,High,Very High
Kampala,High,High,Moderate,Moderate,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,Very High
Cincinnati,High,High,Low,Moderate,Low,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Low
Ludhiana,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Very Low,High,Moderate,Moderate,Very High
Newcastle,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Kansas-City,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate
Rabat,Low,Moderate,Low,Moderate,Very Low,Low,Low,Low,Very Low,Moderate,Low,Low,High
Davao,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Multan,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,High
Harare,Moderate,High,High,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,Moderate,Very High
Novosibirsk,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,High
Indianapolis,High,Very High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,High,High,High,Moderate
Puebla,High,Very High,High,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,High,High
Gujranwala,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,High
Jamshedpur,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,High
Recife,Very High,Very High,Moderate,Very High,High,High,High,Moderate,Low,High,Very High,Very High,Very High
Columbus,Moderate,High,Low,Low,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Low
Tabriz,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Very Low,Low,Low,Very Low,High
Charlotte,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Nasik,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Moderate,Very Low,Low,Moderate,Low,Moderate
Porto-Alegre,Very High,Very High,Moderate,Very High,Very High,High,High,Moderate,Very Low,High,Very High,Very High,Very High
Valencia,Very Low,Moderate,Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Moderate
Virginia-Beach,Moderate,High,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate
Munich,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Low,Very Low,Very Low
Yekaterinburg,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Very High
Auckland,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Shiraz,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very Low,Moderate,Moderate,Low,High
Kharkiv,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Very High
Muscat,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Low
Bronx,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,Moderate
The-Hague,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,Very Low
Sharjah,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Faridabad,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very Low,Low,Moderate,Moderate,High
Ulaanbaatar,High,High,Moderate,High,Low,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,High
Goiania,High,High,High,High,High,High,Moderate,Low,Low,High,High,High,Very High
Belgrade,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Very High
Islamabad,Low,Low,Low,Low,Low,Low,Low,Very Low,Very Low,Low,Low,Low,Moderate
Milwaukee,High,Very High,High,High,High,High,High,Moderate,Moderate,High,High,High,Moderate
Milan,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,High
Sofia,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Low,Very High
Adelaide,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Low,Low,Low
Samsun,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,Low
Rajkot,Moderate,High,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Cordoba,High,High,Moderate,High,Moderate,High,Moderate,Low,Very Low,Moderate,High,High,High
Prague,Very Low,Moderate,Very Low,Very Low,Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Moderate
Montevideo,High,High,Moderate,High,Moderate,High,Moderate,Low,Very Low,Moderate,High,High,Moderate
Doha,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Low
Meerut,High,High,High,High,High,High,High,High,High,Moderate,High,High,Very High
Thane,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Nizhniy-Novgorod,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Kazan,Low,Low,Low,Low,Low,Moderate,Low,Moderate,Low,Low,Moderate,Low,High
Calgary,Low,High,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Low
Abuja,High,High,Moderate,High,High,High,Moderate,Moderate,Low,Moderate,High,High,Very High
Sevilla,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Moderate
Varanasi,Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Low,Moderate,Low,Moderate
Tunis,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,High
Chelyabinsk,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,High
Mombasa,High,High,High,High,Moderate,Moderate,High,High,High,High,High,High,Very High
Maputo,High,High,Moderate,High,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Very High
Rosario,Very High,Very High,High,Very High,High,High,High,Moderate,Very Low,Very High,High,Very High,Very High
Dublin,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Jacksonville,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,Moderate
Medina,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Srinagar,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High
Omsk,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,High
Samara,Low,Low,Very Low,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,High
Campinas,High,High,Moderate,High,High,High,Moderate,Low,Very Low,High,High,High,Very High
Dakar,Low,High,Moderate,Low,Low,Moderate,Low,Low,Very Low,Low,Moderate,Low,High
Quetta,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very High
Amritsar,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,High
Tegucigalpa,Very High,High,High,Very High,High,High,High,Moderate,Low,High,High,Very High,Very High
